application,regions,batch,runtime_ns
sha256-fpga,2,12,146003143
sha256-fpga,2,12,76233826
sha256-fpga,2,12,212907076
sha256-fpga,2,12,42455407
sha256-fpga,2,12,420914918
sha256-fpga,2,12,43996054
sha256-fpga,2,12,75673581
sha256-fpga,2,12,111946887
sha256-fpga,2,12,490176669
sha256-fpga,2,12,489062172
sha256-fpga,2,12,180245916
sha256-fpga,2,12,519996516
sha256-fpga,2,12,142550481
sha256-fpga,2,12,245194429
sha256-fpga,2,12,177395675
sha256-fpga,2,12,312767799
sha256-fpga,2,12,214416707
sha256-fpga,2,12,349732333
sha256-fpga,2,12,277006211
sha256-fpga,2,12,245192181
sha256-fpga,2,12,381649907
sha256-fpga,2,12,346978219
sha256-fpga,2,12,382972739
sha256-fpga,2,12,314260454
sha256-fpga,2,12,417881729
sha256-fpga,2,12,450104761
sha256-fpga,2,12,452216753
sha256-fpga,2,12,517085200
sha256-fpga,2,13,111334506
sha256-fpga,2,13,145447097
sha256-fpga,2,13,215316470
sha256-fpga,2,13,348591549
sha256-fpga,2,13,419094371
sha256-fpga,2,13,43650572
sha256-fpga,2,13,43215308
sha256-fpga,2,13,77605995
sha256-fpga,2,13,486381676
sha256-fpga,2,13,211247375
sha256-fpga,2,13,75990457
sha256-fpga,2,13,518840717
sha256-fpga,2,13,110397572
sha256-fpga,2,13,145456561
sha256-fpga,2,13,243322871
sha256-fpga,2,13,177955693
sha256-fpga,2,13,178526741
sha256-fpga,2,13,276948339
sha256-fpga,2,13,277943342
sha256-fpga,2,13,243748335
sha256-fpga,2,13,311132349
sha256-fpga,2,13,311005386
sha256-fpga,2,13,345679740
sha256-fpga,2,13,378900647
sha256-fpga,2,13,447732911
sha256-fpga,2,13,412840711
sha256-fpga,2,13,379533908
sha256-fpga,2,13,448633270
sha256-fpga,2,13,482132170
sha256-fpga,2,13,514117962
sha256-fpga,2,14,45619355
sha256-fpga,2,14,390088938
sha256-fpga,2,14,42366841
sha256-fpga,2,14,454453716
sha256-fpga,2,14,79524662
sha256-fpga,2,14,384414583
sha256-fpga,2,14,141995581
sha256-fpga,2,14,250463406
sha256-fpga,2,14,175451210
sha256-fpga,2,14,210063664
sha256-fpga,2,14,487743508
sha256-fpga,2,14,455698966
sha256-fpga,2,14,244248046
sha256-fpga,2,14,73611912
sha256-fpga,2,14,111909555
sha256-fpga,2,14,107072216
sha256-fpga,2,14,146168586
sha256-fpga,2,14,281313479
sha256-fpga,2,14,310030312
sha256-fpga,2,14,344317407
sha256-fpga,2,14,348988160
sha256-fpga,2,14,179668937
sha256-fpga,2,14,213948237
sha256-fpga,2,14,313683259
sha256-fpga,2,14,417509083
sha256-fpga,2,14,412799202
sha256-fpga,2,14,483681566
sha256-fpga,2,14,513539132
sha256-fpga,2,14,276298390
sha256-fpga,2,14,515079569
sha256-fpga,2,15,211935356
sha256-fpga,2,15,42666216
